nome,date,start,end,citta,provincia
Fiera della Polenta,16 Ottobre 2025 - 09 Novembre 2025,2025-10-16,2025-11-09,Vigasio,VR
Sagra della vulia cazzata,16 Ottobre 2025 - 19 Ottobre 2025,2025-10-16,2025-10-19,Martano,LE
Sagra del pan-zal,16 Ottobre 2025 - 26 Ottobre 2025,2025-10-16,2025-10-26,Rosa,SA
Festa del Vì de Visciola,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,San Paolo di Jesi,AN
Sagra Nazionale del calzone,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Acquaviva delle Fonti,BA
Sagra della varola,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Melfi,PZ
Fiera nazionale del marrone,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Cuneo,CN
Leguminaria,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Appignano,MC
Sagra delle castagne,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Capradosso,AQ
Mais&Cavalli,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Vigone,TO
Lungo le Antiche Rue,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Civitella Roveto,AQ
Festival della sbrisolona e dei dolci italiani,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Mantova,MN
Sagra del pane,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Ramacca,CT
Festa della Zucca,17 Ottobre 2025 - 02 Novembre 2025,2025-10-17,2025-11-02,Salzano,VE
Sagra del cavolo liscio,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Moriondo,TO
Sagra del fagiolo di Saluggia,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Saluggia,VC
Opuntia Ficus Indica Fest,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Roccapalumba,PA
Il Tartufo tra i sapori di autunno,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Capizzi,ME
Sagra delle castagne,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Rocca di Papa,RM
Festa della mela di valle maddaloni,17 Ottobre 2025 - 26 Ottobre 2025,2025-10-17,2025-10-26,Valle di Maddaloni,CE
Il nero di Bagnoli,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Bagnoli Irpino,AV
Sagra della Caldarrosta,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Trezzano Rosa,MI
Sagra Nazionale del Calzone,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Acquaviva delle Fonti,BA
Festa Regionale Cavolo dell’Adige,17 Ottobre 2025 - 20 Ottobre 2025,2025-10-17,2025-10-20,Castagnaro,VR
Fiera del rapulé,17 Ottobre 2025 - 19 Ottobre 2025,2025-10-17,2025-10-19,Calosso,AT
Sagra della lumaca,17 Ottobre 2025 - 20 Ottobre 2025,2025-10-17,2025-10-20,Gesico,SU
Sagra della polenta di Arborea,18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,Arborea,OR
Mostra del Bitto,18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,Morbegno,SO
Mostra mercato del sedano nero e sagra della salsiccia,18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,Trevi,PG
Sagra della zucca,18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,Agra,VA
Sagra della pappardella al cinghiale,18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,Sacrofano,RM
Sagra della patata e dei prodotti d’autunno,18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,Cagno,CO
Funghi Fest,18 Ottobre 2025 - 26 Ottobre 2025,2025-10-18,2025-10-26,Castelbuono,PA
Festa dei Porcu Meu,18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,Muro Leccese,LE
Zuccainpiazza,18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,Bormida-Genepro,CN
Festa della Castagna e del Marrone Dop Caprese,18 Ottobre 2025 - 26 Ottobre 2025,2025-10-18,2025-10-26,Caprese Michelangelo,AR
Sagra del suino nero e del Fungo porcino di Nebrodi,18 Ottobre 2025 - 26 Ottobre 2025,2025-10-18,2025-10-26,Cesarò,ME
"Lo pan ner, i pani delle Alpi",18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,Valle d'Aosta,AO
Festa della zucca,18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,Terzo D'aquileia,UD
Festa dei Pomi,18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,San Pietro Viminario,PD
Sagra del fagiolo borbontino,18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,Borbona,RI
Sagra della castagna,18 Ottobre 2025 - 26 Ottobre 2025,2025-10-18,2025-10-26,Sicignano degli Alburni,SA
Sapori di castagne,18 Ottobre 2025 - 26 Ottobre 2025,2025-10-18,2025-10-26,Magnano In Riviera,UD
Palio dei cantù,18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,Martinengo,BG
Simposio top wine 2950,18 Ottobre 2025,2025-10-18,2025-10-18,Canazei,TN
Sagra della zucca,18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,Aquileia,UD
Sagra dei marroni,18 Ottobre 2025 - 26 Ottobre 2025,2025-10-18,2025-10-26,Rocca Massima,LT
Sagra della Castagna,18 Ottobre 2025 - 19 Ottobre 2025,2025-10-18,2025-10-19,Summonte,AV
Sagra del tartufo,19 Ottobre 2025 - 26 Ottobre 2025,2025-10-19,2025-10-26,Dovadola,FC
La mela benefica – Sagra della mela e dei sapori tirolesi,19 Ottobre 2025,2025-10-19,2025-10-19,Bolzano Novarese,NO
Festa della zucca e dei fiori d’autunno,19 Ottobre 2025,2025-10-19,2025-10-19,Montagnana,PD
Sagra della Polenta,19 Ottobre 2025,2025-10-19,2025-10-19,Casperia,RI
Sagra della Salsiccia,19 Ottobre 2025,2025-10-19,2025-10-19,Camerata Nuova,RM
Festa della Castagna,19 Ottobre 2025,2025-10-19,2025-10-19,Tufo Basso,AV
Festa della castagna di Intermesoli,19 Ottobre 2025,2025-10-19,2025-10-19,Intermesoli,AQ
Festa rurale del Cevrin di Coazze,19 Ottobre 2025,2025-10-19,2025-10-19,Coazze,TO
Festa del sedano rosso,19 Ottobre 2025,2025-10-19,2025-10-19,Orbassano,TO
Keschtnriggl festa della castagna,19 Ottobre 2025 - 02 Novembre 2025,2025-10-19,2025-11-02,Foiana,UD
Sagra della castagna,20 Ottobre 2025 - 26 Ottobre 2025,2025-10-20,2025-10-26,Cave,RM
Il marrone Segnino,23 Ottobre 2025 - 26 Ottobre 2025,2025-10-23,2025-10-26,Segni,RM
Festa del Folpo,23 Ottobre 2025 - 27 Ottobre 2025,2025-10-23,2025-10-27,Noventana,FE
Fira ‘d la calà,23 Ottobre 2025 - 26 Ottobre 2025,2025-10-23,2025-10-26,Bobbio Pellice,TO
Sagra del miele di Châtillon,24 Ottobre 2025 - 26 Ottobre 2025,2025-10-24,2025-10-26,Châtillon,AO
Festa del baccalà,24 Ottobre 2025 - 02 Novembre 2025,2025-10-24,2025-11-02,Ronchi di Campanile,RN
Sagra della Castagna del Partenio,24 Ottobre 2025 - 26 Ottobre 2025,2025-10-24,2025-10-26,Cervinara,AV
Sagra della Castagna,24 Ottobre 2025 - 26 Ottobre 2025,2025-10-24,2025-10-26,Sorbo Serpico,AV
Sagra della castagna,24 Ottobre 2025 - 27 Ottobre 2025,2025-10-24,2025-10-27,San Cipriano Picentino,SA
Sagra dei sapori Madoniti d’autunno,24 Ottobre 2025 - 26 Ottobre 2025,2025-10-24,2025-10-26,Petralia Sottana,PA
Festa dell’olio,24 Ottobre 2025 - 26 Ottobre 2025,2025-10-24,2025-10-26,Lucca Sicula,AG
Festa della sapa e del vin brulè,24 Ottobre 2025 - 26 Ottobre 2025,2025-10-24,2025-10-26,Rosora,AN
Sagra Polenta Taragna,24 Ottobre 2025 - 09 Novembre 2025,2025-10-24,2025-11-09,Spirano,BG
Sagra del totano,24 Ottobre 2025 - 02 Novembre 2025,2025-10-24,2025-11-02,Capraia Isola,LI
Zafferiamo,24 Ottobre 2025 - 26 Ottobre 2025,2025-10-24,2025-10-26,Città della Pieve,PG
Castagnata di Lillianes,24 Ottobre 2025 - 26 Ottobre 2025,2025-10-24,2025-10-26,Lillianes,AO
Sagra della Castanicoltura,24 Ottobre 2025 - 26 Ottobre 2025,2025-10-24,2025-10-26,Fagnano Castello,CS
Sagra dei li pani fattu in domu,24 Ottobre 2025 - 26 Ottobre 2025,2025-10-24,2025-10-26,Villaurbana,OR
Mostra e sagra dei funghi,25 Ottobre 2025,2025-10-25,2025-10-25,Ucria,ME
Sagra della mostarda di fichi d’india,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Gagliano Castelferrato,EN
Sagra della castagna roscetta,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Canistro Inferiore,AQ
Mostra dei formaggi della valle del Belice e sagra della ricotta,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Poggioreale,TP
Festa della zucca,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Venzone,UD
Volterra gusto,25 Ottobre 2025 - 02 Novembre 2025,2025-10-25,2025-11-02,Volterra,PI
Sagra della salsiccia,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Morlupo,RM
Sagra dell’olio d’oliva,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Cervino,CE
Mostra dei vini dei colli Euganei,25 Ottobre 2025 - 09 Novembre 2025,2025-10-25,2025-11-09,Torreglia,PD
Sagra mercato della castagna,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Montemonaco,AP
Festa del Kiwi,25 Ottobre 2025,2025-10-25,2025-10-25,Pizzale,PV
Zucca Days,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Casumaro,FE
Festa dea Panocia,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Vigonza,PD
Fiesta de li Sucis,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Cordenons,PN
Sagra della Castagna,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,San Felice D'ocre,RI
Sagra della Castagna e dei prodotti del sottobosco,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Calvello,PZ
Festa della patata di Montagna,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Castelcivita,SA
Sagra del tartufo bianco delle Colline Sanminiatesi,25 Ottobre 2025 - 02 Novembre 2025,2025-10-25,2025-11-02,Ponte a Egola,PI
Super Castagnata,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Ripatransone,AP
Sagra della Bagna Cauda,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Belveglio,AT
L’Umbria in un bicchiere,25 Ottobre 2025,2025-10-25,2025-10-25,Foligno,PG
Capricci d’autunno,25 Ottobre 2025 - 09 Novembre 2025,2025-10-25,2025-11-09,Fiumedinisi,ME
Bacco per Bacco,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Turi,BA
Sagra delle “Zazzicchie e Verole”,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Gerano,RM
Tartófla – Festival Internazionale del tartufo bianco,25 Ottobre 2025 - 16 Novembre 2025,2025-10-25,2025-11-16,Savigno,BO
Sagra della Castagna,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Calvello,PZ
Fiera del Sant – Fièro di Sant,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Vinadio,CN
Festa d’autunno ciccioli balsamici,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Albinea,RE
Sagra della Castagna,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Martone,RC
Sagra della Castagna di Aritzo,25 Ottobre 2025 - 26 Ottobre 2025,2025-10-25,2025-10-26,Aritzo,NU
Sagra delle radici di Soncino,26 Ottobre 2025,2025-10-26,2025-10-26,Soncino,CR
Sagra della Castagna,26 Ottobre 2025,2025-10-26,2025-10-26,Montagnareale,ME
Sagra dell’Agnellone e del Castrato,26 Ottobre 2025,2025-10-26,2025-10-26,Brisighella,RA
Castagnata di Flagogna,26 Ottobre 2025,2025-10-26,2025-10-26,Flagogna,AP
Festa del braciere,26 Ottobre 2025,2025-10-26,2025-10-26,Moresco,FM
Sagra del marrone locale,26 Ottobre 2025,2025-10-26,2025-10-26,Polverina,CB
Saboris Antigus,26 Ottobre 2025,2025-10-26,2025-10-26,Gergei,SU
Schisciafarniscula,26 Ottobre 2025,2025-10-26,2025-10-26,Cassolnovo,PV
Festa del marrone,26 Ottobre 2025,2025-10-26,2025-10-26,Castione,BG
I centogusti dell’appennino,30 Ottobre 2025 - 02 Novembre 2025,2025-10-30,2025-11-02,Anghiari,AR
Soca Fest,30 Ottobre 2025 - 02 Novembre 2025,2025-10-30,2025-11-02,Palazzago,BG
Festival della Valtellina,30 Ottobre 2025 - 02 Novembre 2025,2025-10-30,2025-11-02,Lomazzo,CO
Sagra della strazzata – Festival dei grani antichi,31 Ottobre 2025 - 02 Novembre 2025,2025-10-31,2025-11-02,Lagopesole,PZ
Sagra della Ciuìga,31 Ottobre 2025 - 02 Novembre 2025,2025-10-31,2025-11-02,San Lorenzo Dorsino,TN
Ferrara Food Festival,31 Ottobre 2025 - 02 Novembre 2025,2025-10-31,2025-11-02,Ferrara,FE
Mostra mercato nazionale del tartufo bianco,31 Ottobre 2025 - 02 Novembre 2025,2025-10-31,2025-11-02,Città di Castello,PG
Sapori di Laverino,31 Ottobre 2025 - 02 Novembre 2025,2025-10-31,2025-11-02,Laverino,LC
Mostra mercato del tartufo bianco di Carbone,31 Ottobre 2025 - 02 Novembre 2025,2025-10-31,2025-11-02,Carbone,PZ
Sapori d’autunno,31 Ottobre 2025 - 02 Novembre 2025,2025-10-31,2025-11-02,Pietrapertosa,PZ
Sagra della castagna,01 Novembre 2025 - 02 Novembre 2025,2025-11-01,2025-11-02,Sante Marie,AQ
Sagra del fungo cardoncello,01 Novembre 2025 - 02 Novembre 2025,2025-11-01,2025-11-02,Spinazzola,BT
Sagra del Marrone,01 Novembre 2025 - 02 Novembre 2025,2025-11-01,2025-11-02,Arcinazzo Romano,RM
"Festa del vino cotto, castagne e sapori d’autunno",01 Novembre 2025 - 02 Novembre 2025,2025-11-01,2025-11-02,Roccamontepiano,CH
Fiera Nazionale del Tartufo Bianco di Acqualagna,01 Novembre 2025 - 23 Novembre 2025,2025-11-01,2025-11-23,Acqualagna,PU
Agrimontana,01 Novembre 2025 - 02 Novembre 2025,2025-11-01,2025-11-02,Palazzolo Acreide,SR
Strade dello Zafferano di Sardegna DOP,02 Novembre 2025 - 16 Novembre 2025,2025-11-02,2025-11-16,Villanovafranca,SU
Frantoi aperti in Valle Roveto,02 Novembre 2025 - 15 Novembre 2025,2025-11-02,2025-11-15,San Vincenzo Valle Roveto,AQ
Sagra della castagna,05 Novembre 2025 - 09 Novembre 2025,2025-11-05,2025-11-09,Sant'Agata di Esaro,CS
Sagra mele miele,07 Novembre 2025 - 09 Novembre 2025,2025-11-07,2025-11-09,Baceno,VB
Sagra della castagna IGP,07 Novembre 2025 - 16 Novembre 2025,2025-11-07,2025-11-16,Montella,AV
La Mangiaunta,07 Novembre 2025 - 09 Novembre 2025,2025-11-07,2025-11-09,Giano Dell'umbria,PG
Olioliva festa dell’olio nuovo,07 Novembre 2025 - 09 Novembre 2025,2025-11-07,2025-11-09,Imperia,IM
Festa del radicchio rosso di Treviso IGP,07 Novembre 2025 - 23 Novembre 2025,2025-11-07,2025-11-23,Rio San Martino,TV
Festa del vino,07 Novembre 2025 - 09 Novembre 2025,2025-11-07,2025-11-09,Procida,NO_PROV
Festa della castagna,07 Novembre 2025 - 09 Novembre 2025,2025-11-07,2025-11-09,Riofreddo,RM
DeguScanno,07 Novembre 2025 - 09 Novembre 2025,2025-11-07,2025-11-09,Scanno,AQ
Festa del torrone,08 Novembre 2025 - 16 Novembre 2025,2025-11-08,2025-11-16,Cremona,CR
Bacco nelle gnostre,08 Novembre 2025 - 09 Novembre 2025,2025-11-08,2025-11-09,Noci,BA
Fiera del porro,08 Novembre 2025 - 23 Novembre 2025,2025-11-08,2025-11-23,Cervere,CN
Le cantine di San Martino,08 Novembre 2025 - 09 Novembre 2025,2025-11-08,2025-11-09,Arce,FR
Festa del tartufo,08 Novembre 2025 - 16 Novembre 2025,2025-11-08,2025-11-16,Campoli Appennino,FR
L’oca e il vin novello,08 Novembre 2025 - 09 Novembre 2025,2025-11-08,2025-11-09,Lavariano,UD
Fiera del bollito con la pearà e sapori d’autunno,13 Novembre 2025 - 30 Novembre 2025,2025-11-13,2025-11-30,Isola della Scala,VR
Sagra della Cassatella di Agira,14 Novembre 2025 - 16 Novembre 2025,2025-11-14,2025-11-16,Agira,EN
Sagra delle olive,14 Novembre 2025 - 16 Novembre 2025,2025-11-14,2025-11-16,Gonnosfanadiga,SU
Aj a Caraj,15 Novembre 2025 - 16 Novembre 2025,2025-11-15,2025-11-16,Caraglio,CN
Il cardoncello novello,15 Novembre 2025 - 16 Novembre 2025,2025-11-15,2025-11-16,Gravina in Puglia,BA
Fera dij Còj,15 Novembre 2025 - 16 Novembre 2025,2025-11-15,2025-11-16,Settimo Torinese,TO
Festa della pitina,15 Novembre 2025 - 16 Novembre 2025,2025-11-15,2025-11-16,Tramonti di Sopra,PN
Sagra del cavolo verza,19 Novembre 2025 - 23 Novembre 2025,2025-11-19,2025-11-23,Montalto Dora,TO
Festa della cicerchia,21 Novembre 2025 - 23 Novembre 2025,2025-11-21,2025-11-23,Serra De' Conti,AN
Sagra dell’ulivo e dell’olio,23 Novembre 2025,2025-11-23,2025-11-23,Brisighella,RA
Festa della cicerchia di Serra de’ Conti,28 Novembre 2025 - 30 Novembre 2025,2025-11-28,2025-11-30,Serra De' Conti,AN
Festa del mandorlato,29 Novembre 2025 - 07 Dicembre 2025,2025-11-29,2025-12-07,Cologna Veneta,VR
Sagra del maiale e del cinghiale,29 Novembre 2025 - 30 Novembre 2025,2025-11-29,2025-11-30,Antillo,ME
Sagra del buccellato,29 Novembre 2025 - 30 Novembre 2025,2025-11-29,2025-11-30,Casteldaccia,PA
Olio & Farro,29 Novembre 2025 - 30 Novembre 2025,2025-11-29,2025-11-30,Alviano,TR
Fiera fredda – Fiera Nazionale della lumaca piemontese,03 Dicembre 2025 - 07 Dicembre 2025,2025-12-03,2025-12-07,Borgo San Dalmazzo,CN
Festa del radicchio,03 Dicembre 2025 - 07 Dicembre 2025,2025-12-03,2025-12-07,Asigliano Veneto,VI
Festa dell’olio,05 Dicembre 2025 - 07 Dicembre 2025,2025-12-05,2025-12-07,San Quirico d'Orcia,SI
Choco Modica,05 Dicembre 2025 - 08 Dicembre 2025,2025-12-05,2025-12-08,Modica,RG
Festa del Torrone e del Croccantino,05 Dicembre 2025 - 14 Dicembre 2025,2025-12-05,2025-12-14,San Marco dei Cavoti,BN
Sagra dell’olivo di Canino,06 Dicembre 2025 - 08 Dicembre 2025,2025-12-06,2025-12-08,Canino,VT
Festa del Sedano Nero di Torricella Peligna,07 Dicembre 2025 - 14 Dicembre 2025,2025-12-07,2025-12-14,Torricella Peligna,CH
Festa de Su Binu Nou,08 Dicembre 2025,2025-12-08,2025-12-08,Sardara,SU
Festa dello zampone e del cotechino Modena IGP,12 Dicembre 2025 - 14 Dicembre 2025,2025-12-12,2025-12-14,Modena,MO
Fiera del bue grasso,12 Dicembre 2025,2025-12-12,2025-12-12,Carrù,CN
Festa del Radicchio variegato di Castelfranco IGP,13 Dicembre 2025 - 14 Dicembre 2025,2025-12-13,2025-12-14,Castelfranco Veneto,TV
